iter	RMSE
0	1.78399848
1	1.781543462
2	1.779284615
3	1.777582441
4	1.772235318
5	1.764427379
6	1.762034812
7	1.758744995
8	1.756492112
9	1.754014118
10	1.74955113
11	1.74594594
12	1.740338311
13	1.736758587
14	1.732941379
15	1.728836144
16	1.726294103
17	1.724521187
18	1.719875536
19	1.715918613
20	1.71330755
21	1.709276936
22	1.707867637
23	1.703644531
24	1.700049151
25	1.697033946
26	1.695530729
27	1.691602397
28	1.687534089
29	1.683863155
30	1.679368412
31	1.674751771
32	1.672666612
33	1.669718028
34	1.666253426
35	1.661667362
36	1.658516647
37	1.657097041
38	1.654189715
39	1.65104999
40	1.646141016
41	1.641890475
42	1.63832856
43	1.636292106
44	1.634346248
45	1.630457708
46	1.62842459
47	1.624168484
48	1.621861014
49	1.619793768
50	1.618598369
51	1.6152061
52	1.61340555
53	1.60827786
54	1.606469884
55	1.604674788
56	1.601488341
57	1.599282128
58	1.595520723
59	1.593082555
60	1.591136344
61	1.588992142
62	1.58731856
63	1.585268797
64	1.583329162
65	1.576867161
66	1.573046973
67	1.57174963
68	1.5697974
69	1.566326147
70	1.564665071
71	1.562968992
72	1.559251219
73	1.557409034
74	1.552896024
75	1.550440988
76	1.548500928
77	1.54535386
78	1.542287206
79	1.539975934
80	1.538676415
81	1.536451693
82	1.534683343
83	1.532849492
84	1.531066877
85	1.526816359
86	1.524900834
87	1.521777301
88	1.519159303
89	1.515546135
90	1.512668992
91	1.510592399
92	1.508464705
93	1.505715164
94	1.502670026
95	1.500245619
96	1.498896906
97	1.497625503
98	1.492048725
99	1.489160567
100	1.48677876
101	1.484509515
102	1.482439346
103	1.48130125
104	1.477150519
105	1.474570071
106	1.47248322
107	1.470118314
108	1.46904291
109	1.46553964
110	1.463790984
111	1.46269814
112	1.460542365
113	1.459519119
114	1.458622522
115	1.454706313
116	1.453461576
117	1.451525134
118	1.450749357
119	1.449351687
120	1.447762107
121	1.446491685
122	1.443286883
123	1.441770338
124	1.438636442
125	1.436188904
126	1.43481077
127	1.431702513
128	1.429518278
129	1.428235157
130	1.426756919
131	1.424756922
132	1.422067829
133	1.420247952
134	1.415449111
135	1.414076429
136	1.411873119
137	1.408992752
138	1.406295749
139	1.404477375
140	1.403414813
141	1.400173928
142	1.396848784
143	1.395170184
144	1.393938953
145	1.392335638
146	1.391283029
147	1.390072089
148	1.388427441
149	1.386203452
150	1.384533872
151	1.380349635
152	1.379046887
153	1.377332216
154	1.37594183
155	1.37444105
156	1.370236865
157	1.368866439
158	1.366044442
159	1.364681365
160	1.360190147
161	1.358687474
162	1.357853363
163	1.354070132
164	1.35134928
165	1.345488089
166	1.342349678
167	1.341275882
168	1.339663507
169	1.338198105
170	1.336368515
171	1.334510359
172	1.332551001
173	1.331115312
174	1.327970788
175	1.325397797
176	1.32353554
177	1.321366756
178	1.320797311
179	1.318444682
180	1.316999734
181	1.316059647
182	1.313693155
183	1.312439953
184	1.311273998
185	1.310683249
186	1.309165302
187	1.307298723
188	1.304621376
189	1.303214067
190	1.301462882
191	1.299857385
192	1.298346063
193	1.295898025
194	1.294699371
195	1.293424784
196	1.291643244
197	1.290300559
198	1.28686021
199	1.285107431
200	1.283050125
201	1.281863796
202	1.279156922
203	1.277848571
204	1.273877253
205	1.27241165
206	1.268943414
207	1.265851878
208	1.263353535
209	1.257900481
210	1.256208633
211	1.254512444
212	1.25343601
213	1.252152688
214	1.248460063
215	1.246940454
216	1.245333749
217	1.243901697
218	1.242294901
219	1.240483577
220	1.238986741
221	1.236331172
222	1.234928997
223	1.233628477
224	1.23227757
225	1.230650387
226	1.22856073
227	1.226111784
228	1.225252475
229	1.223835046
230	1.222480391
231	1.221142082
232	1.219464266
233	1.217728416
234	1.215831579
235	1.214500998
236	1.213008134
237	1.211471414
238	1.209855762
239	1.208256843
240	1.206937011
241	1.205755871
242	1.204455705
243	1.203190577
244	1.201430746
245	1.200020984
246	1.198510346
247	1.1967727
248	1.195176234
249	1.194053814
250	1.192541385
251	1.191072071
252	1.189519615
253	1.188050518
254	1.186623751
255	1.185449367
256	1.184027982
257	1.182719589
258	1.181183974
259	1.179143166
260	1.177692015
261	1.176233943
262	1.174740279
263	1.172591185
264	1.170994302
