iter	Passed	Remaining
0	0	748
1	1	524
2	1	447
3	1	391
4	1	337
5	1	295
6	2	293
7	2	291
8	2	290
9	2	273
10	3	274
11	3	274
12	3	274
13	3	269
14	4	270
15	4	270
16	4	270
17	4	266
18	5	259
19	5	259
20	5	260
21	5	260
22	6	260
23	6	260
24	6	261
25	6	261
26	7	261
27	7	257
28	7	253
29	7	254
30	8	254
31	8	255
32	8	250
33	8	250
34	9	251
35	9	251
36	9	252
37	9	252
38	10	252
39	10	253
40	10	251
41	11	251
42	11	251
43	11	251
44	11	251
45	12	252
46	12	252
47	12	252
48	12	250
49	13	248
50	13	248
51	13	246
52	13	246
53	14	247
54	14	246
55	14	246
56	14	246
57	15	246
58	15	246
59	15	246
60	15	244
61	16	244
62	16	244
63	16	244
64	16	243
65	17	243
66	17	241
67	17	240
68	17	240
69	18	239
70	18	239
71	18	238
72	18	239
73	18	237
74	19	237
75	19	237
76	19	237
77	20	237
78	20	237
79	20	237
80	20	237
81	21	237
82	21	237
83	21	237
84	22	237
85	22	237
86	22	237
87	22	236
88	23	236
89	23	236
90	23	236
91	23	235
92	24	235
93	24	235
94	24	235
95	24	235
96	25	235
97	25	235
98	25	234
99	26	234
100	26	234
101	26	233
102	26	232
103	26	232
104	27	232
105	27	232
106	27	231
107	28	231
108	28	231
109	28	231
110	28	230
111	28	229
112	29	229
113	29	229
114	29	229
115	30	229
116	30	229
117	30	228
118	30	228
119	31	228
120	31	227
121	31	227
122	31	227
123	32	227
124	32	227
125	32	227
126	32	226
127	33	226
128	33	225
129	33	225
130	34	225
131	34	225
132	34	225
133	34	224
134	35	224
135	35	224
136	35	224
137	35	224
138	36	223
139	36	223
140	36	223
141	37	223
142	37	223
143	37	223
144	37	223
145	38	222
146	38	222
147	38	222
148	38	222
149	39	222
150	39	222
151	39	221
152	39	221
153	40	221
154	40	220
155	40	219
156	40	219
157	41	218
158	41	218
159	41	218
160	41	217
161	42	217
162	42	217
163	42	217
164	42	217
165	43	216
166	43	216
167	43	216
168	44	216
169	44	216
170	44	216
171	44	215
172	45	215
173	45	215
174	45	215
175	45	214
176	46	214
177	46	214
178	46	214
179	46	214
180	47	213
181	47	213
182	47	213
183	48	213
184	48	213
185	48	213
186	48	212
187	49	212
188	49	211
189	49	211
190	49	211
191	50	210
192	50	210
193	50	210
194	50	210
195	51	210
196	51	210
197	51	209
198	52	209
199	52	209
200	52	209
201	52	209
202	53	208
203	53	208
204	53	208
205	54	208
206	54	208
207	54	208
208	54	207
209	55	207
210	55	207
211	55	207
212	56	207
213	56	206
214	56	206
215	56	206
216	57	206
217	57	206
218	57	205
219	58	205
220	58	205
221	58	205
222	58	205
223	59	204
224	59	204
225	59	204
226	59	204
227	60	204
228	60	203
229	60	203
230	61	203
